,mandatory,,mandatory,optional,optional,mandatory,mandatory,mandatory when customer project,mandatory when customer project,mandatory,linked to Commodity ID,linked to Commodity ID,linked to Commodity ID,linked to Commodity ID,linked to Commodity ID,linked to Commodity ID,,,,,,linked to Commodity ID,linked to Commodity ID,linked to Commodity ID,optional,mandatory,mandatory,mandatory,mandatory,,mandatory,mandatory,mandatory,mandatory,optional,linked to Commodity ID,,mandatory,"mandatory if ""no""",,optional,optional,optional,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,,,,,,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,,,,,mandatory,mandatory,mandatory,mandatory,,,,,,,,,,,,,,,,,Delete Line bevore forwarding,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default,Select,,Select,Input,Input,Input,Select,Input,Input,Input,Formula/ linked,Formula/ linked,Formula/ linked,Formula/ linked,Formula/ linked,Formula/ linked,,,,,,Formula/ linked,Formula/ linked,Formula/ linked,Input,Select,Select,Select,Select,,Input,Select,Input,Input,Select,Formula,Formula,Select,Input,Formula,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Formula,Formula,Formula,Formula,Formula,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Formula,Formula,Formula,Formula,Formula,Input,Input,Input,Formula,Formula,,exchange rates Budget 2025 updaten!!,,,,,Formula,Formula,Formula,Formula,Formula,Formula,,,Delete Line bevore forwarding,BMS UPLOAD FORM,,,,,,,,,,,,,,,,BMS UPLOAD FORM,,,,,,,Check formulars,,,
"ID
do not change or delete !!
Add in RAS Request!",Company,Region,Plant,Organisation Cost Center,OrganisationCost Center responsible,"Description of Investment/ 
WBS-Title (SAP)/ 
RAS-Title
(Fundamental Investment/GWG)","Standard Investment Category 
(Description)",Customer,Car - Model / Customer Internal Project Number,"Commodity ID No
Select in List of tab: Commodity_ID
(Master for BMS/ RAS Budget and several of following colums","Purchasing 
Commodity 

L1","Purchasing 
Commodity 

L2","Purchasing 
Commodity 

L3","Purchasing 
Commodity 

L4","Purchasing 
Commodity 

L5","Purchasing 
Commodity 

L6",MPP L1,MPP L2,"MPP ""Value levels""","MPP ""L3 - Analysis""",Confirmation required?,RAS & BMS Budget Account,"Tangible /
Intangible",Technology,Comment,Sustainability,"Productive / 
non productive",Condition of Asset,Already Sourced ?,Already Sourced 2 ?,"Planned date of sourcing  

MM/YYYY","Unit of measure

piece, length, weight ..",Quantity,"value per item

in thousand","Source of funding

own, Leasing, Customer, other","sourcing LCC capable ?
","Budgeted Value
2025/26
LCC Source
in th-Euro
","Realized LCC 
in Budget 
figures?
2025/26","LCC Value Option
2025/26
in th-Euro
","Savings
2025/26
LCC 
in th-Euro
","Already existing
RAS - Number","Value of Capex 
already ordered",add. SAP-Budget onto already existing WBS-Elements  (SAP),"1 
April
2025
","2 
May
2025","3 
June
2025","4 
July
2025","5 
Aug
2025","6 
Sept
2025","7 
Oct
2025","8 
Nov
2025","9 
Dec
2025","10 
Jan
2026","11 
Feb
2026","12 
March
2026","Budget
Q2 2025
","Budget
Q3 2025
","Budget
Q4 2025
","Budget
Q1 2026
","Budget
2025/26
","1 
April
2026
","2 
May
2026","3 
June
2026","4 
July
2026","5 
Aug
2026","6 
Sept
2026","7 
Oct
2026","8 
Nov
2026","9 
Dec
2026","10 
Jan
2027","11 
Feb
2027","12 
March
2027","Budget
Q2 2026
","Budget
Q3 2026
","Budget
Q4 2026
","Budget
Q1 2027
","Budget
2026/27
","Plan
2027/28
","Plan
2028/29
","Plan
2029/30
","Total
2025/26 - 2029/30",Local currency from plant,x,"Budget
2025/26
","Budget
2026/27
","Plan
2027/28
","Plan
2028/29
","Plan
2029/30
","Budget
2025/26
","Budget
2026/27
","Plan
2027/28
","Plan
2028/29
","Plan
2029/30
","Total
2025/26 - 2029/30",Empty?,x,"COMPANY:

Delete Column in BMS upload template bevore forwarding to India",BMS Account Code,x,COST CENTER,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Mar-2026,"2025/26
Delete Column in BMS upload template bevore forwarding to India",2026-2027,2027-2028,2028-2029,2029-2030,5y SUM,FY 25/26 & 26/27,sorting,…..,…...,,
408501,SMP,Germany & EE,CEFA Poland,,,Expansion,Expansion,,,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,"7,115.7","7,115.7","9,606.6","8,606.9","8,500.7","6,932.8","8,545.3","8,297.5","8,297.5",0.0,0.0,0.0,"23,838","24,040","25,140",0,"73,019",,,,,,,,,,,,"1,710.4",0,0,0,"1,710","1,710",0,0,0,"74,729",EUR,,0.2339,0.2269,0.2269,0.2269,0.2269,"17,076",388,0,0,0,"17,464",Value planned,,CEFA Poland,RAS404506,,Expansion Capex,"1,664","1,664.1","2,246.6","2,012.8","1,988.0","1,621.3","1,998.4","1,940.5","1,940.5",0.0,0.0,0.0,"17,076.4",388.0,0.0,0.0,0.0,"17,464.5","17,464.5","17,464.5","17,464",-74711.69537,,
408502,SMRC,Germany & EE,SMRC Nitra,,, Mercedes V530 ,Customer projects new,Daimler,V530,7991,Office Supplies Equipment,"Office Equipment, White goods & Electrical Equipment",0,0,0,0,Consumables,Office Material,,,,Other Office Supplies & Equipment,Tangible,Office / Administration,,not relevant,Productive,New,no,no,2/1/2025,Each,1,0,,no,0,yes,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,"12,494",,,,"12,494",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,0,"12,494",0,0,0,"12,494",Value planned,,SMRC Nitra,RAS340012,,Customer Projects,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"12,494.0",0.0,0.0,0.0,"12,494.0","12,494.0","12,494.0","12,494",-12481.506,,
408503,SMP,Germany & EE,CEFA Poland,,,Customer projects new,Customer projects new,BMW,BMW - DP,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,0.0,0.0,"12,699.7",0.0,"1,411.1","12,699.7",0.0,"1,411.1",0.0,0.0,0.0,0.0,"12,700","14,111","1,411",0,"28,222",,,,,,,,,,,,"14,110.8",0,0,0,"14,111","14,111","18,814",0,0,"61,147",EUR,,0.2339,0.2269,0.2269,0.2269,0.2269,"6,600","3,201","4,269",0,0,"14,070",Value planned,,CEFA Poland,RAS404506,,Customer Projects,0,0.0,"2,970.0",0.0,330.0,"2,970.0",0.0,330.0,0.0,0.0,0.0,0.0,"6,600.0","3,201.4","4,268.5",0.0,0.0,"14,069.9","9,801.4","9,801.4","14,070",-61132.73007,,
408520,MDRSC,Germany & EE,MDRSC Radomierz,16114006,Bogus?aw Pawelski,Paintshop,Expansion,,,9326,Paint Shop,Robotic,Painting Facility,Bumper paint shop,Water& Solvent based,0,Capex & Equipment,Painting lines,,New Paintshop,,New Paint Plant,Tangible,Paint Shop,,not relevant,Productive,New,no,no,12/2025,Each,1,45719.396,Own,no,0,no,,0,,,,,,,,,"16,935.2",,,,,,"16,935.2",0,"16,935",0,"16,935","33,870",,,,,,,,,,,,,0,0,0,0,0,,,,"33,870",PLN,,0.2339,0.2269,0.2269,0.2269,0.2269,"7,921",0,0,0,0,"7,921",Value planned,,MDRSC Radomierz,RAS260012,New Paint Plant,Expansion Capex,0,0,0,0,0,"3,961",0,0,0,0,0,"3,961","7,921",0,0,0,0,"7,921.0","7,921.0","7,921.0","7,921",-33862.40273,,
408521,SMP,Germany & EE,CEFA Poland,,,Customer projects new,Customer projects new,BMW,BMW - DP NB5,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,0.0,"9,033.5",0.0,0.0,57.7,0.0,0.0,"1,942.3",22.4,22.4,"9,055.9",22.4,"9,033",58,"1,965","9,101","20,157",,,,,,,,,,,,"12,089.5",0,0,0,"12,090","12,090","1,732",0,0,"33,978",EUR,,0.2339,0.2269,0.2269,0.2269,0.2269,"4,714","2,743",393,0,0,"7,850",Value planned,,CEFA Poland,RAS404506,,Customer Projects,0,"2,112.6",0.0,0.0,13.5,0.0,0.0,454.2,5.3,5.3,"2,117.9",5.3,"4,713.9","2,742.8",392.9,0.0,0.0,"7,849.6","7,456.7","7,456.7","7,850",-33970.19392,,
408522,SMP,Germany & EE,SMP Hungary,,Végh Gábor,Jungheinrich forklift fleet rent KEC,Others,,,9666,Fleet Management,Vehicle Hire/Leasing,0,0,0,0,HR Management,Car leasing,,,,Vehicle Lease,Tangible,Office / Administration,,not relevant,Productive,Used,yes,yes,04/2025,Set,60,99.5,Leasing,no,0,no,0,0,,,,,,,,,"5,970.0",,,,,,,0,"5,970",0,0,"5,970",,,,,,,,,,,,,0,0,0,0,0,,,,"5,970",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,"5,970",0,0,0,0,"5,970",Value planned,,SMP Hungary,R99900000227,,Others,0,0.0,0.0,0.0,0.0,"5,970.0",0.0,0.0,0.0,0.0,0.0,0.0,"5,970.0",0.0,0.0,0.0,0.0,"5,970.0","5,970.0","5,970.0","5,970",-5964.03,,
408523,SMP,Germany & EE,SMP Boetzingen (HQ),DE10725,,Pauschalplanung 2026/27,Others,,,8005,Plant equipment,Other plant equipment,0,0,0,0,Capex & Equipment,Plant Equipment,,General Planning & Reserves,,Other Plant Equipment,Tangible,Others/exemption limit,,not relevant,non productive,brand new,no,no,,,,,Own,no,0,??,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,"4,793.9",,,,,,,0,"4,794",0,0,"4,794",,,,"4,794",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,0,"4,794",0,0,0,"4,794",Value planned,,SMP Boetzingen (HQ),RAS404506,,Others,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,793.9",0.0,0.0,0.0,"4,793.9","4,793.9","4,793.9","4,794",-4789.05615,,
408524,SMP,Iberica,MRA,,,Customer projects new,Customer projects new,STELLANTIS,O1H,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,"4,500.0",0,0,0,"4,500","4,500",0,0,0,"4,500",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,0,"4,500",0,0,0,"4,500",Value planned,,MRA,RAS404506,,Customer Projects,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,500.0",0.0,0.0,0.0,"4,500.0","4,500.0","4,500.0","4,500",-4495.5,,
408525,SMP,Iberica,CEFA,,,Customer projects new,Customer projects new,MERCEDES,VAN EA PRI,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,0.0,0.0,"1,336.8","1,336.8","1,336.8",0.0,0.0,0.0,0.0,0.0,222.8,0.0,"1,337","2,674",0,223,"4,233",,,,,,,,,,,,222.8,0,0,0,223,223,0,0,0,"4,456",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,"4,233",223,0,0,0,"4,456",Value planned,,CEFA,RAS404506,,Customer Projects,0,0.0,"1,336.8","1,336.8","1,336.8",0.0,0.0,0.0,0.0,0.0,222.8,0.0,"4,233.3",222.8,0.0,0.0,0.0,"4,456.1","4,456.1","4,456.1","4,456",-4451.646318,,
408526,SMP,Germany & EE,CEFA Poland,,,Customer projects new,Customer projects new,MERCEDES,VAN EA - IP,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,0.0,"5,618.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,619",0,0,0,"5,619",,,,,,,,,,,,"13,110.2",0,0,0,"13,110","13,110",0,0,0,"18,729",EUR,,0.2339,0.2269,0.2269,0.2269,0.2269,"1,314","2,974",0,0,0,"4,288",Value planned,,CEFA Poland,RAS404506,,Customer Projects,0,"1,314.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,314.0","2,974.4",0.0,0.0,0.0,"4,288.4","4,288.4","4,288.4","4,288",-18724.59161,,
408527,SMP,Germany & EE,CEFA Poland,,,Customer projects new,Customer projects new,BMW,BMW - DP NB0,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,867.5",0.0,0.0,0,0,0,"5,868","5,868",,,,,,,,,,,,"11,916.8",0,0,0,"11,917","11,917","3,591",0,0,"21,376",EUR,,0.2339,0.2269,0.2269,0.2269,0.2269,"1,372","2,704",815,0,0,"4,891",Value planned,,CEFA Poland,RAS404506,,Customer Projects,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,372.2",0.0,0.0,"1,372.2","2,703.6",814.8,0.0,0.0,"4,890.6","4,075.8","4,075.8","4,891",-21370.83337,,
408465,MDRSC,Germany & EE,MDRSC Radomierz,16113005,Tomera Tomasz,Greenfield Mercedes VAN.EA Bumpers External Packaging for route Greenfield-Düsseldorf,Customer projects new,Mercedes-Benz,VAN.EA,1042,Packaging,External Usage,Customized,Bin / Box/ Tote,Steel,Without inserts/ Inlays/ Dividers,Direct Material Logsitic,Direct Material Logsitic,,,,Plastic Bins / Totes,Tangible,Logistics,,not relevant,Productive,New,no,no,04/2026,Each,1,16245.01912,Own,no,0,no,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"16,245.0",0.0,0.0,0,0,0,"16,245","16,245",0,0,0,"16,245",PLN,,0.2339,0.2269,0.2269,0.2269,0.2269,0,"3,686",0,0,0,"3,686",Value planned,,MDRSC Radomierz,RAS404701,Plastic Bins / Totes,Customer Projects,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,686",0,0,0,"3,685.6","3,685.6","3,685.6","3,686",-16241.33352,,
408466,SMP,USA,SMP USA,,,SSI Inspection System,Rationalization,,,8007,Paint Shop,Others,0,0,0,0,Capex & Equipment,Painting lines,,Measurement equipment,,Other Paint Shop,Tangible,Paint Shop,SSI Inspection System,not relevant,non productive,New,no,no,,,,,Borrowings,no,0,??,0,0,,,,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,500,"1,500","1,500","3,500",,,,,,,,,,,,0.0,0,0,0,0,0,0,0,0,"3,500",USD,,0.9554,0.9342,0.9342,0.9342,0.9342,"3,344",0,0,0,0,"3,344",Value planned,,SMP USA,RAS260015,,Replacement/Maintenance,0,0.0,0.0,0.0,0.0,477.7,477.7,477.7,477.7,477.7,477.7,477.7,"3,343.8",0.0,0.0,0.0,0.0,"3,343.8","3,343.8","3,343.8","3,344",-3496.656157,,
408467,Other,Iberica,MDRSC-Plant Spain S.A.,,,Maquinas inyectoras Nuevos Proyectos (CX735) 5+1,Customer projects new,Ford,Ford Bronco,8348,Moulding Machine,High Pressure Injection Moulding (HPDC),Electric,< 200 T,0,0,Capex & Equipment,IMM,,New Machine,Yes,Other Moulding Machine,Tangible,Moulding,,not relevant,non productive,New,no,no,9/1/2026,Piece,1,3297,,no,0,yes,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,"3,297.0",0,0,0,"3,297","3,297",0,0,0,"3,297",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,0,"3,297",0,0,0,"3,297",Value planned,,MDRSC-Plant Spain S.A.,RAS240016,Other Moulding Machine,Customer Projects,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,297",0,0,0,"3,297.0","3,297.0","3,297.0","3,297",-3293.703,,
408468,SMRC,France & North Africa,SMRC Tetouan,,,Sandero,Customer projects repeat,Renault,Sandero,7835,Assembly / Secondary Equipment,Assembly Line,Automated Assembly Line,New equipment,Assembly / Inspection Machine,0,Capex & Equipment,Assembly,>=1m,Automation,Yes,Assembly Line,Tangible,Secondary Equipment,,not relevant,,,,no,,,,,,no,0,??,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,"33,962.0",0,0,0,"33,962","33,962","5,001",0,0,"38,963",EUR,,0.0955,0.0938,0.0938,0.0938,0.0938,0,"3,187",469,0,0,"3,656",Value planned,,SMRC Tetouan,RAS110011,,Customer Projects,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,187.0",469.3,0.0,0.0,"3,656.3","3,187.0","3,187.0","3,656",-38959.34373,,
408469,SMP,Germany & EE,SMP Hungary,HU55661,Bálint Mészáros,Automatic part defect inspection system bmAI smart surface inspection SSI,Rationalization,,,9626,Plant equipment,Heating Ventilation and Air Conditioning,Air Conditioning System,0,0,0,Facility,Air System and Materials,,,,Air Conditioner / HVAC / Ventillation,Tangible,Energy,,not relevant,non productive,New,no,no,03/2026,Piece,1,3120000,Own,no,0,no,0,0,,,,,,,,,,,,,,,0.0,0,0,0,0,0,0.0,"3,120.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,120",0,0,0,"3,120",,,,"3,120",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,0,"3,120",0,0,0,"3,120",Value planned,,SMP Hungary,RAS404201,,Replacement/Maintenance,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,120.0",0.0,0.0,0.0,"3,120.0","3,120.0","3,120.0","3,120",-3116.88,,
408470,SMP,Iberica,MRA,,,Rationalization,Rationalization,,,8005,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,,,,0,0,0,,please select !,,,,no,,,,,,0,0,??,0,0,,,,66.7,96.7,66.7,154.2,504.2,206.7,66.7,66.7,66.7,156.7,66.7,96.7,230,865,200,320,"1,615",,,,,,,,,,,,"1,380.0",0,0,0,"1,380","1,380",900,900,900,"5,695",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,"1,615","1,380",900,900,900,"5,695",Value planned,,MRA,RAS404506,,Replacement/Maintenance,67,96.7,66.7,154.2,504.2,206.7,66.7,66.7,66.7,156.7,66.7,96.7,"1,615.0","1,380.0",900.0,900.0,900.0,"5,695.0","2,995.0","2,995.0","5,695",-5689.30501,,
408471,SMP,Germany & EE,SMP Boetzingen (HQ),DE10731,V. Dadheech,Project Leap SAP HANA,Others,,,303,IT and Communications,Software/Licenses,ERP,SAP,0,0,IT,IT Software,,,,Software - ERP,Intangible,IT,,not relevant,non productive,brand new,no,no,,Each,,,Own,no,0,no,0,0,,,,529.0,329.0,609.0,219.0,161.0,45.0,393.0,74.0,45.0,45.0,331.0,45.0,"1,467",425,512,421,"2,825",,,,,,,,,,,,,0,0,0,0,0,,,,"2,825",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,"2,825",0,0,0,0,"2,825",Value planned,,SMP Boetzingen (HQ),RAS170013,,Others,529,329.0,609.0,219.0,161.0,45.0,393.0,74.0,45.0,45.0,331.0,45.0,"2,825.0",0.0,0.0,0.0,0.0,"2,825.0","2,825.0","2,825.0","2,825",-2822.175,,
408472,SMP,Germany & EE,SMP Neustadt,,Englisch,"automatisierte Oberflächenprüfung (z.T. auch mitgeplant bei NAx, ZAx und G60 LCI; gesamt ca 3600 TEUR)",Rationalization,,,9658,Assembly / Secondary Equipment,Assembly vision control,Camera / Vision Sensor,0,0,0,Capex & Equipment,Assembly,>=1m,Vision / EOL,Yes,Vision Control System - Vision Testing / Measurement,Tangible,Secondary Equipment,,not relevant,,,,no,,,,,,no,0,??,0,0,,,,,,,,,0.0,0.0,0.0,300.0,0.0,300.0,300.0,0,0,300,600,900,,,,,,,,,,,,"1,900.0",0,0,0,"1,900","1,900",,,,"2,800",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,900,"1,900",0,0,0,"2,800",Value planned,,SMP Neustadt,RAS110019,,Replacement/Maintenance,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,300.0,900.0,"1,900.0",0.0,0.0,0.0,"2,800.0","2,800.0","2,800.0","2,800",-2797.2,,
408473,SMP,Germany & EE,SMP Neustadt,,Schneider / TP,Logistik BMW 3er/4er STF Front NA0-3 AG/MSP (NF G2x); SOP 11/2026,Customer projects repeat,BMW,"NA0, NA1, NA2, NA3 STF",1034,Packaging,External Usage,Customized,Bin / Box/ Tote,Plastic,With inserts/ Inlays/ Dividers,Direct Material Logsitic,Direct Material Logsitic,,,,Plastic Bins / Totes,Tangible,Logistics,,not relevant,,,,no,,,,,,no,0,??,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,"2,593.5",0,0,0,"2,594","2,594",,,,"2,594",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,0,"2,594",0,0,0,"2,594",Value planned,,SMP Neustadt,RAS404701,,Customer Projects,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,593.5",0.0,0.0,0.0,"2,593.5","2,593.5","2,593.5","2,594",-2590.924216,,
408474,Other,Germany & EE,MDRSC-Plant Neuses,11111000,H. Löhlein,Neuprojekte,Customer projects new,Forseven,0,8845,Assembly / Secondary Equipment,Laminating Machine,Machine,"Combination Lamination Machine (Incl Edge Folding, etc.)",Compression laminating,0,Capex & Equipment,Lamination,,,,Laminating Machine,Tangible,Secondary Equipment,Kaschieranlagen,Energy generation,non productive,New,yes,yes,08/2025,piece,1,2574.19,Own,no,0,??,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,574.2",0.0,0.0,0.0,0.0,0,0,"2,574",0,"2,574",,,,,,,0.0,,,,,,0,0,0,0,0,0,0,0,"2,574",EUR,,1.0000,1.0000,1.0000,1.0000,1.0000,"2,574",0,0,0,0,"2,574",Value planned,,MDRSC-Plant Neuses,RAS110017,Laminating Machine,Customer Projects,0,0,0,0,0,0,0,"2,574",0,0,0,0,"2,574",0,0,0,0,"2,574.2","2,574.2","2,574.2","2,574",-2571.61581,,
